iter	Logloss
0	0.6341079639
1	0.5812180076
2	0.5374200629
3	0.5097022536
4	0.4892046623
5	0.462174557
6	0.4388328443
7	0.4227830075
8	0.4070707622
9	0.3936194461
10	0.3789502742
11	0.3643686395
12	0.3503152218
13	0.3373006063
14	0.3264340487
15	0.3161268462
16	0.3075343958
17	0.2972477452
18	0.2905523127
19	0.283117997
20	0.2757435666
21	0.2692865618
22	0.2631732995
23	0.2575877979
24	0.2530661953
25	0.246810037
26	0.2404169512
27	0.2317297539
28	0.225440833
29	0.2207355043
30	0.2170546865
31	0.2119361841
32	0.2073002135
33	0.2027416321
34	0.198378458
35	0.1938753082
36	0.1902138012
37	0.1876369458
38	0.1845370936
39	0.1805832603
40	0.1772090237
41	0.1737733138
42	0.1707873915
43	0.1673125491
44	0.1643012745
45	0.1620938972
46	0.1599501833
47	0.1570325057
48	0.1532566125
49	0.1510334015
50	0.148451107
51	0.1461309223
52	0.1434838874
53	0.1409489572
54	0.1385559374
55	0.1362161865
56	0.1335063734
57	0.132017309
58	0.1297868701
59	0.1274692864
60	0.12520551
61	0.1239674308
62	0.1223737361
63	0.1200894808
64	0.1181342203
65	0.1161661285
66	0.1143221513
67	0.1125332773
68	0.1112472771
69	0.1088569404
70	0.1072008325
71	0.1061575858
72	0.1033779035
73	0.1010622636
74	0.09878707959
75	0.09676290813
76	0.09483796444
77	0.09301792492
78	0.09133813484
79	0.08951509284
80	0.08785333588
81	0.08649117867
82	0.08528438367
83	0.08410153549
84	0.0826159208
85	0.08072631325
86	0.07949779821
87	0.07783678958
88	0.07652665097
89	0.07527654365
90	0.07376463676
91	0.07259523127
92	0.07143304451
93	0.06994992124
94	0.0693590949
95	0.06797530434
96	0.06703542864
97	0.06567369123
98	0.06407841769
99	0.06296014101
