iter	Passed	Remaining
0	2	285
1	5	251
2	7	249
3	10	253
4	12	244
5	15	239
6	17	231
7	19	225
8	21	220
9	24	217
10	26	213
11	28	211
12	31	207
13	33	203
14	35	199
15	37	195
16	39	193
17	42	191
18	44	189
19	46	187
20	48	184
21	51	181
22	53	179
23	55	176
24	57	173
25	60	170
26	62	167
27	64	164
28	66	161
29	68	159
30	70	157
31	72	154
32	74	151
33	76	149
34	78	146
35	81	144
36	83	141
37	85	139
38	88	138
39	90	135
40	92	133
41	94	131
42	97	128
43	99	126
44	101	123
45	103	121
46	106	119
47	108	117
48	110	114
49	112	112
50	114	109
51	116	107
52	118	105
53	120	102
54	122	100
55	125	98
56	127	96
57	129	93
58	131	91
59	134	89
60	137	87
61	140	85
62	142	83
63	144	81
64	147	79
65	150	77
66	153	75
67	155	73
68	157	70
69	159	68
70	161	66
71	164	63
72	166	61
73	168	59
74	170	56
75	173	54
76	175	52
77	178	50
78	180	48
79	183	45
80	185	43
81	187	41
82	189	38
83	191	36
84	193	34
85	195	31
86	198	29
87	200	27
88	202	25
89	205	22
90	207	20
91	209	18
92	211	15
93	213	13
94	215	11
95	218	9
96	220	6
97	222	4
98	224	2
99	226	0
